Name,Description,Solution,Obstacle,Organization,Address,Website,Email,Phone,Latitude,Longitude
100 Percent Pittsburgh Community Listening,"The Pittsburgh Foundation’s 100 Percent Pittsburgh initiative conducts a continuing series of community listening sessions across the region—including deindustrialized river towns—to elevate the priorities of low-wage workers and families. Sessions rotate by neighborhood, include stipends, food, and when possible childcare and interpretation, and are facilitated with community partners to center local voices. Findings are published and used to guide grantmaking and inform public officials and...",Town Hall and Listening Tour Series,No Locally Attuned Progressive Leaders from Working-Class Communities,The Pittsburgh Foundation,"5 PPG Place, Suite 250, Pittsburgh, PA 15222",https://pittsburghfoundation.org,info@pittsburghfoundation.org,
15210 Neighbor Nights,"Neighbor Nights are recurring evening gatherings that pop up at different host sites across Pittsburgh’s Hilltop neighborhoods (Allentown, Beltzhoover, Carrick, etc.). Co-hosted with libraries, churches, and small businesses, these events feature shared food, games, resource tables, and discussion prompts that help residents meet one another and stay engaged between elections. The rotating host model distributes the work, makes participation accessible across neighborhoods, and builds ongoing...",Pop-up Community Evenings,Absence of Year-Round Democratic Party Presence and Organizing,Neighborhood Allies,"3058 Centre Avenue, Suite 201, Pittsburgh, PA 15219",https://neighborhoodallies.org,info@neighborhoodallies.org,
1Hood Media,"1Hood Media is a Pittsburgh-based arts and media organization that produces short videos, podcasts, livestreams, and social media campaigns elevating community and worker voices. Their programs regularly feature interviews with local workers, organizers, and small-business employees, turning complex policy debates into human stories that circulate widely on neighborhood social channels and build trust through consistent, culturally grounded storytelling.",Local media and storytelling campaign,Communication Gaps Between Top Union Officials and Rank-and-File Members,1Hood Media,"460 Melwood Avenue, Pittsburgh, PA 15213",https://1hood.org,info@1hood.org,
1Hood Power Endorsements,"1Hood Power, a Western PA community-based civic organization, conducts public candidate forums, questionnaires, and endorsement votes grounded in input from respected local community leaders and working-class residents. The group publishes endorsement slates and coordinates year-round civic engagement, amplifying credible local voices to back candidates committed to worker-centered and community-rooted policies.",Local Candidate Endorsement Circle,No Locally Attuned Progressive Leaders from Working-Class Communities,1Hood Power,"460 Melwood Avenue, Pittsburgh, PA 15213",https://www.1hoodpower.org,,
1Hood Power Endorsements,"1Hood Power is a community-led civic engagement organization that conducts public candidate forums, circulates questionnaires, and coordinates community review panels before issuing endorsements. By elevating trusted local leaders and grassroots organizers from Pittsburgh neighborhoods to vet and publicly back candidates, it functions as a community endorsement circle that prioritizes worker-centered agendas and local representation.",Local Candidate Endorsement Circle,No Locally Attuned Progressive Leaders from Working-Class Communities,1Hood Power,"460 Melwood Avenue, Pittsburgh, PA 15213",https://1hoodpower.org,info@1hoodpower.org,
1Hood Power Voter Education & GOTV,"1Hood Power conducts ongoing voter education, neighborhood canvassing, and candidate forums led by trusted community members from Pittsburgh’s working-class Black communities. Their teams connect policy issues like public safety, jobs, and wages to everyday experiences and run sustained, year-round GOTV and civic participation efforts that extend beyond campaign cycles.",Election Day Worker Mobilization & Voter Education,No Locally Attuned Progressive Leaders from Working-Class Communities,1Hood Power,"460 Melwood Avenue, Pittsburgh, PA 15213",https://1hoodpower.org,info@1hoodpower.org,
32BJ Member Political Program – Western Pennsylvania,"SEIU 32BJ organizes building service workers in Western Pennsylvania into member endorsement committees that interview candidates and vote on local endorsements. Trained Member Political Organizers then share short, member-written messages and guidance through workplace meetings and neighbor-to-neighbor outreach, ensuring endorsements reflect rank-and-file priorities in specific buildings and communities rather than national scripts.",Local endorsement councils made of members,Communication Gaps Between Top Union Officials and Rank-and-File Members,SEIU Local 32BJ,"650 Smithfield Street, Suite 1220, Pittsburgh, PA 15222",https://www.seiu32bj.org,info@seiu32bj.org,
32BJ SEIU Member Political Organizers (MPO) and Bargaining Committees — Pittsburgh District,"32BJ SEIU’s Pittsburgh District runs member-led bargaining committees and a Member Political Organizer (MPO) program in which frontline workers develop endorsement criteria, interview candidates, and communicate decisions back to coworkers. This participatory structure links bargaining priorities to endorsement guidelines set by rank-and-file members, rebuilding local peer-to-peer networks and making union political messaging more credible and responsive.",Pilot participatory bargaining and decision-making,Communication Gaps Between Top Union Officials and Rank-and-File Members,"32BJ Service Employees International Union (SEIU), Pittsburgh District Office","707 Grant Street, Suite 1405, Pittsburgh, PA 15219",https://www.seiu32bj.org,info@seiu32bj.org,
412 Food Rescue – Home Delivery and Food Rescue Network,"This region-wide mutual aid network mobilizes volunteers via an app to pick up surplus food and deliver it directly to community sites and households, preventing waste while sharing food neighbor-to-neighbor. The Home Delivery program pairs volunteers with nearby recipients for recurring drops, creating ongoing relationships that strengthen local trust and civic participation.",Mutual Aid Networks,Absence of Year-Round Democratic Party Presence and Organizing,412 Food Rescue,"6140 Station Street, Pittsburgh, PA 15206",https://www.412foodrescue.org,info@412foodrescue.org,
7800 Susquehanna,"Bridgeway Capital owns and operates this former factory as affordable, mission-driven production space for small manufacturers, fabricators, and makers. By holding the property long-term and leasing flexible industrial suites at accessible rates, it preserves industrial real estate in Homewood and supports stable, quality jobs for local firms.",Preserve Affordable Industrial Space via Community Land Trusts,Cultural Disconnection Between Progressive Messaging and Working-Class Identity,Bridgeway Capital,"7800 Susquehanna Street, Pittsburgh, PA 15208",https://www.bridgewaycapital.org/real-estate/7800-susquehanna/,info@bridgewaycapital.org,
